,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
20,jppfs_cor:AccumulatedImpairmentLossBuildings,減損損失累計額、建物,Accumulated impairment loss,Accumulated impairment loss-buildings
21,jppfs_cor:BuildingsNet,建物（純額）,"Buildings, net","Buildings, net"
22,jppfs_cor:Structures,構築物,Structures,Structures
23,jppfs_cor:AccumulatedDepreciationStructures,減価償却累計額、構築物,Accumulated depreciation,Accumulated depreciation-structures
24,jppfs_cor:AccumulatedImpairmentLossStructures,減損損失累計額、構築物,Accumulated impairment loss,Accumulated impairment loss-structures
25,jppfs_cor:StructuresNet,構築物（純額）,"Structures, net","Structures, net"
26,jppfs_cor:MedicalInstrumentAndEquipmentMED,医療用器械備品、社会医療法人,Medical instrument and equipment,Medical instrument and equipment-MED
27,jppfs_cor:AccumulatedDepreciationMedicalInstrumentAndEquipmentMED,減価償却累計額、医療用器械備品、社会医療法人,Accumulated depreciation,Accumulated depreciation-medical instrument and equipment-MED
28,jppfs_cor:AccumulatedImpairmentLossMedicalInstrumentAndEquipmentMED,減損損失累計額、医療用器械備品、社会医療法人,Accumulated impairment loss,Accumulated impairment loss-medical instrument and equipment-MED
29,jppfs_cor:AccumulatedDepreciationAndImpairmentLossMedicalInstrumentAndEquipmentMED,減価償却累計額及び減損損失累計額、医療用器械備品、社会医療法人,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-medical instrument and equipment-MED
30,jppfs_cor:MedicalInstrumentAndEquipmentNetMED,医療用器械備品（純額）、社会医療法人,"Medical instrument and equipment, net","Medical instrument and equipment, net-MED"
31,jppfs_cor:OtherInstrumentAndEquipmentMED,その他の器械備品、社会医療法人,Other instrument and equipment,Other instrument and equipment-MED
32,jppfs_cor:AccumulatedDepreciationOtherInstrumentAndEquipmentMED,減価償却累計額、その他の器械備品、社会医療法人,Accumulated depreciation,Accumulated depreciation-other instrument and equipment-MED
33,jppfs_cor:AccumulatedImpairmentLossOtherInstrumentAndEquipmentMED,減損損失累計額、その他の器械備品、社会医療法人,Accumulated impairment loss,Accumulated impairment loss-other instrument and equipment-MED
34,jppfs_cor:AccumulatedDepreciationAndImpairmentLossOtherInstrumentAndEquipmentMED,減価償却累計額及び減損損失累計額、その他の器械備品、社会医療法人,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-other instrument and equipment-MED
35,jppfs_cor:OtherInstrumentAndEquipmentNetMED,その他の器械備品（純額）、社会医療法人,"Other instrument and equipment, net","Other instrument and equipment, net-MED"
36,jppfs_cor:VehiclesAndVesselsMED,車両及び船舶、社会医療法人,Vehicles and vessels,Vehicles and vessels-MED
37,jppfs_cor:AccumulatedDepreciationVehiclesAndVesselsMED,減価償却累計額、車両及び船舶、社会医療法人,Accumulated depreciation,Accumulated depreciation-vehicles and vessels-MED
38,jppfs_cor:AccumulatedImpairmentLossVehiclesAndVesselsMED,減損損失累計額、車両及び船舶、社会医療法人,Accumulated impairment loss,Accumulated impairment loss-vehicles and vessels-MED
39,jppfs_cor:AccumulatedDepreciationAndImpairmentLossVehiclesAndVesselsMED,減価償却累計額及び減損損失累計額、車両及び船舶、社会医療法人,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-vehicles and vessels-MED
40,jppfs_cor:VehiclesAndVesselsNetMED,車両及び船舶（純額）、社会医療法人,"Vehicles and vessels, net","Vehicles and vessels, net-MED"
41,jppfs_cor:Land,土地,Land,Land
42,jppfs_cor:ConstructionInProgress,建設仮勘定,Construction in progress,Construction in progress
43,jppfs_cor:OtherPPE,その他、有形固定資産,Other,Other-PPE
44,jppfs_cor:AccumulatedDepreciationOtherPPE,減価償却累計額、その他、有形固定資産,Accumulated depreciation,Accumulated depreciation-other-PPE
45,jppfs_cor:AccumulatedImpairmentLossOtherPPE,減損損失累計額、その他、有形固定資産,Accumulated impairment loss,Accumulated impairment loss-other-PPE
46,jppfs_cor:OtherNetPPE,その他（純額）、有形固定資産,"Other, net","Other, net-PPE"
47,jppfs_cor:AccumulatedDepreciationPPEByGroup,減価償却累計額、有形固定資産、一括控除,Accumulated depreciation,Accumulated depreciation-PPE-by group
48,jppfs_cor:AccumulatedImpairmentLossPPEByGroup,減損損失累計額、有形固定資産、一括控除,Accumulated impairment loss,Accumulated impairment loss-PPE-by group
49,jppfs_cor:AccumulatedDepreciationAndImpairmentLossPPEByGroup,減価償却累計額及び減損損失累計額、有形固定資産、一括控除,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-PPE-by group
50,jppfs_cor:IntangibleAssets,無形固定資産,Intangible assets,Intangible assets
51,jppfs_cor:LeaseholdRight,借地権,Leasehold right,Leasehold right
52,jppfs_cor:Software,ソフトウエア,Software,Software
53,jppfs_cor:OtherIA,その他、無形固定資産,Other,Other-IA
54,jppfs_cor:OtherAssetsMED,その他の資産、社会医療法人,Other assets,Other assets-MED
55,jppfs_cor:InvestmentSecurities,投資有価証券,Investment securities,Investment securities
56,jppfs_cor:LongTermLoansReceivable,長期貸付金,Long-term loans receivable,Long-term loans receivable
57,jppfs_cor:AllowanceForDoubtfulAccountsLongTermLoansReceivable,貸倒引当金、長期貸付金,Allowance for doubtful accounts,Allowance for doubtful accounts-long-term loans receivable
58,jppfs_cor:LongTermLoansReceivableNet,長期貸付金（純額）,"Long-term loans receivable, net","Long-term loans receivable, net"
59,jppfs_cor:LongTermLoansReceivableFromDirectorsEmployeesAndOtherMED,役職員等長期貸付金、社会医療法人,"Long-term loans receivable from directors, employees and other","Long-term loans receivable from directors, employees and other-MED"
60,jppfs_cor:AllowanceForDoubtfulAccountsLongTermLoansReceivableFromDirectorsEmployeesAndOtherMED,貸倒引当金、役職員等長期貸付金、社会医療法人,Allowance for doubtful accounts,"Allowance for doubtful accounts-long-term loans receivable from directors, employees and other-MED"
61,jppfs_cor:LongTermLoansReceivableFromDirectorsEmployeesAndOtherNetMED,役職員等長期貸付金（純額）、社会医療法人,"Long-term loans receivable from directors, employees and other, net","Long-term loans receivable from directors, employees and other, net-MED"
62,jppfs_cor:LongTermPrepaidExpenses,長期前払費用,Long-term prepaid expenses,Long-term prepaid expenses
63,jppfs_cor:DeferredTaxAssetsIOA,繰延税金資産、投資その他の資産,Deferred tax assets,Deferred tax assets-IOA
64,jppfs_cor:OtherNoncurrentAssetsMED,その他の固定資産、社会医療法人,Other non-current assets,Other non-current assets-MED
65,jppfs_cor:AllowanceForDoubtfulAccountsIOAByGroup,貸倒引当金、投資その他の資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-IOA-by group
66,jppfs_cor:Assets,資産,Assets,Assets
67,jppfs_cor:LiabilitiesAbstract,負債の部 [タイトル項目],Liabilities,Liabilities [abstract]
68,jppfs_cor:CurrentLiabilities,流動負債,Current liabilities,Current liabilities
69,jppfs_cor:NotesPayableTrade,支払手形,Notes payable - trade,Notes payable-trade
70,jppfs_cor:AccountsPayableTrade,買掛金,Accounts payable - trade,Accounts payable-trade
71,jppfs_cor:ShortTermLoansPayable,短期借入金,Short-term loans payable,Short-term loans payable
72,jppfs_cor:AccountsPayableOther,未払金,Accounts payable - other,Accounts payable-other
73,jppfs_cor:AccruedExpenses,未払費用,Accrued expenses,Accrued expenses
74,jppfs_cor:IncomeTaxesPayable,未払法人税等,Income taxes payable,Income taxes payable
75,jppfs_cor:AccruedConsumptionTaxes,未払消費税等,Accrued consumption taxes,Accrued consumption taxes
76,jppfs_cor:DeferredTaxLiabilitiesCL,繰延税金負債、流動負債,Deferred tax liabilities,Deferred tax liabilities-CL
77,jppfs_cor:AdvancesReceived,前受金,Advances received,Advances received
78,jppfs_cor:DepositsReceived,預り金,Deposits received,Deposits received
79,jppfs_cor:UnearnedRevenue,前受収益,Unearned revenue,Unearned revenue
80,jppfs_cor:OtherCL,その他、流動負債,Other,Other-CL
81,jppfs_cor:NoncurrentLiabilities,固定負債,Non-current liabilities,Non-current liabilities
82,jppfs_cor:SocialMedicalCorporationBondsPayableMED,社会医療法人債、社会医療法人,Social medical corporation bonds payable,Social medical corporation bonds payable-MED
83,jppfs_cor:LongTermLoansPayable,長期借入金,Long-term loans payable,Long-term loans payable
84,jppfs_cor:DeferredTaxLiabilitiesNCL,繰延税金負債、固定負債,Deferred tax liabilities,Deferred tax liabilities-NCL
85,jppfs_cor:OtherNCL,その他、固定負債,Other,Other-NCL
86,jppfs_cor:Liabilities,負債,Liabilities,Liabilities
87,jppfs_cor:NetAssetsAbstract,純資産の部 [タイトル項目],Net assets,Net assets [abstract]
88,jppfs_cor:ReserveFundMED,積立金、社会医療法人,Reserves,Reserves - MED
89,jppfs_cor:ReserveAtIncorporationMED,設立等積立金、社会医療法人,Reserve at incorporation,Reserve at incorporation - MED
90,jppfs_cor:AlternateFundMED,代替基金、社会医療法人,Alternative fund,Alternative fund - MED
91,jppfs_cor:ProfitReserveBroughtForwardMED,繰越利益積立金、社会医療法人,Profit reserve brought forward,Profit reserve brought forward - MED
92,jppfs_cor:ValuationAndTranslationAdjustments,評価・換算差額等,Valuation and translation adjustments,Valuation and translation adjustments
93,jppfs_cor:ValuationDifferenceOnAvailableForSaleSecurities,その他有価証券評価差額金,Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities
94,jppfs_cor:DeferredGainsOrLossesOnHedges,繰延ヘッジ損益,Deferred gains or losses on hedges,Deferred gains or losses on hedges
95,jppfs_cor:NetAssets,純資産,Net assets,Net assets
96,jppfs_cor:LiabilitiesAndNetAssets,負債純資産,Liabilities and net assets,Liabilities and net assets
97,nan,,,
98,nan,,,
99,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
100,jppfs_cor:StatementOfIncomeAbstract,損益計算書 [タイトル項目],Statement of income,Statement of income [abstract]
101,jppfs_cor:StatementOfIncomeTable,損益計算書 [表],Statement of income,Statement of income [table]
102,jppfs_cor:StatementOfIncomeLineItems,損益計算書 [表示項目],Statement of income,Statement of income [line items]
103,jppfs_cor:OperatingProfitAndLossAbstractMED,事業損益、社会医療法人 [タイトル項目],Operating revenue and expenses,Operating revenue and expenses - MED [abstract]
104,jppfs_cor:PrimaryOperatingProfitAndLossAbstractMED,本来業務事業損益、社会医療法人 [タイトル項目],Primary operating revenue and expenses,Primary operating revenue and expenses - MED [abstract]
105,jppfs_cor:OperatingRevenuePrimaryMED,事業収益、本来業務事業損益、社会医療法人,Operating revenue,Operating revenue-primary-MED
106,jppfs_cor:OperatingExpensesPrimaryAbstractMED,事業費用、本来業務事業損益、社会医療法人 [タイトル項目],Operating expenses,Operating expenses-primary-MED [abstract]
107,jppfs_cor:OperatingExpensesOperatingPrimaryMED,事業費、本来業務事業損益、社会医療法人,Operating expenses - operating,Operating expenses-operating-primary-MED
108,jppfs_cor:HeadOfficeExpensesPrimaryMED,本部費、本来業務事業損益、社会医療法人,Head office expenses,Head office expenses-primary-MED
109,jppfs_cor:OperatingExpensesPrimaryMED,事業費用、本来業務事業損益、社会医療法人,Operating expenses,Operating expenses-primary-MED
110,jppfs_cor:PrimaryOperatingIncomeMED,本来業務事業利益又は本来業務事業損失（△）、社会医療法人,Primary operating profit (loss),Primary operating profit (loss) - MED
111,jppfs_cor:IncidentalOperatingProfitAndLossAbstractMED,附帯業務事業損益、社会医療法人 [タイトル項目],Incidental operating revenue and expenses,Incidental operating revenue and expenses - MED [abstract]
112,jppfs_cor:OperatingRevenueIncidentalMED,事業収益、附帯業務事業損益、社会医療法人,Operating revenue,Operating revenue-incidental-MED
113,jppfs_cor:OperatingExpensesIncidentalMED,事業費用、附帯業務事業損益、社会医療法人,Operating expenses,Operating expenses-incidental-MED
114,jppfs_cor:IncidentalOperatingIncomeMED,附帯業務事業利益又は附帯業務事業損失（△）、社会医療法人,Incidental operating profit (loss),Incidental operating profit (loss) - MED
115,jppfs_cor:ProfitMakingOperatingProfitAndLossAbstractMED,収益業務事業損益、社会医療法人 [タイトル項目],Profit-making operating revenue and expenses,Profit-making operating revenue and expenses - MED [abstract]
116,jppfs_cor:OperatingRevenueProfitMakingMED,事業収益、収益業務事業損益、社会医療法人,Operating revenue,Operating revenue-profit-making-MED
117,jppfs_cor:OperatingExpensesProfitMakingMED,事業費用、収益業務事業損益、社会医療法人,Operating expenses,Operating expenses-profit-making-MED
118,jppfs_cor:ProfitMakingOperatingIncomeMED,収益業務事業利益又は収益業務事業損失（△）、社会医療法人,Profit-making operating profit (loss),Profit-making operating profit (loss) - MED
119,jppfs_cor:OperatingIncomeMED,事業利益又は事業損失（△）、社会医療法人,Operating profit (loss),Operating profit (loss) - MED
120,jppfs_cor:NonOperatingIncomeAbstractMED,事業外収益、社会医療法人 [タイトル項目],Non-operating income,Non-operating income-MED [abstract]
121,jppfs_cor:InterestIncomeNOI,受取利息、営業外収益,Interest income,Interest income-NOI
122,jppfs_cor:OtherNonOperatingIncomeMED,その他の事業外収益、社会医療法人,Other non-operating income,Other non-operating income-MED
123,jppfs_cor:NonOperatingIncomeMED,事業外収益、社会医療法人,Non-operating income,Non-operating income-MED
124,jppfs_cor:NonOperatingExpensesAbstractMED,事業外費用、社会医療法人 [タイトル項目],Non-operating expenses,Non-operating expenses-MED [abstract]
125,jppfs_cor:InterestExpensesNOE,支払利息、営業外費用,Interest expenses,Interest expenses-NOE
126,jppfs_cor:OtherNonOperatingExpensesMED,その他の事業外費用、社会医療法人,Other non-operating expenses,Other non-operating expenses-MED
127,jppfs_cor:NonOperatingExpensesMED,事業外費用、社会医療法人,Non-operating expenses,Non-operating expenses-MED
128,jppfs_cor:OrdinaryIncome,経常利益又は経常損失（△）,Ordinary profit (loss),Ordinary profit (loss)
129,jppfs_cor:ExtraordinaryIncome,特別利益,Extraordinary income,Extraordinary income
130,jppfs_cor:GainOnSalesOfNoncurrentAssetsEI,固定資産売却益、特別利益,Gain on sales of non-current assets,Gain on sales of non-current assets-EI
131,jppfs_cor:OtherEI,その他、特別利益,Other,Other-EI
132,jppfs_cor:ExtraordinaryLoss,特別損失,Extraordinary losses,Extraordinary losses
133,jppfs_cor:LossOnSalesOfNoncurrentAssetsEL,固定資産売却損、特別損失,Loss on sales of non-current assets,Loss on sales of non-current assets-EL
134,jppfs_cor:OtherEL,その他、特別損失,Other,Other-EL
135,jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,Profit (loss) before income taxes,Profit (loss) before income taxes
136,jppfs_cor:IncomeTaxes,法人税等,Income taxes,Income taxes
137,jppfs_cor:IncomeTaxesCurrent,法人税、住民税及び事業税,Income taxes - current,Income taxes-current
138,jppfs_cor:IncomeTaxesDeferred,法人税等調整額,Income taxes - deferred,Income taxes-deferred
139,jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
140,jppfs_cor:ProfitAttributableToAbstract,内訳、当期純利益 [タイトル項目],Profit attributable to,Profit attributable to [abstract]
141,jppfs_cor:ProfitLossAttributableToNonControllingInterests,非支配株主に帰属する当期純利益又は非支配株主に帰属する当期純損失（△）,Profit (loss) attributable to non-controlling interests,Profit (loss) attributable to non-controlling interests
142,jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Profit (loss) attributable to owners of parent,Profit (loss) attributable to owners of parent
143,nan,,,
144,nan,,,
145,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
146,jppfs_cor:StatementOfChangesInNetAssetsAbstract,純資産変動計算書 [タイトル項目],Statement of changes in net assets,Statement of changes in net assets [abstract]
147,jppfs_cor:StatementOfChangesInNetAssetsTable,純資産変動計算書 [表],Statement of changes in net assets,Statement of changes in net assets [table]
148,jppfs_cor:ComponentsOfEquityAxis,純資産の内訳項目 [軸],Components of equity,Components of equity [axis]
149,jppfs_cor:NetAssetsMember,純資産 [メンバー],Net assets,Net assets [member]
150,jppfs_cor:ReservesMEDMember,積立金、社会医療法人 [メンバー],Reserves,Reserves - MED [member]
151,jppfs_cor:ReserveAtIncorporationMEDMember,設立等積立金、社会医療法人 [メンバー],Reserve at incorporation,Reserve at incorporation - MED [member]
152,jppfs_cor:AlternateFundMEDMember,代替基金、社会医療法人 [メンバー],Alternative fund,Alternative fund - MED [member]
153,jppfs_cor:ProfitReserveBroughtForwardMEDMember,繰越利益積立金、社会医療法人 [メンバー],Profit reserve brought forward,Profit reserve brought forward - MED [member]
154,jppfs_cor:ValuationAndTranslationAdjustmentsMember,評価・換算差額等 [メンバー],Valuation and translation adjustments,Valuation and translation adjustments [member]
155,jppfs_cor:ValuationDifferenceOnAvailableForSaleSecuritiesMember,その他有価証券評価差額金 [メンバー],Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities [member]
156,jppfs_cor:DeferredGainsOrLossesOnHedgesMember,繰延ヘッジ損益 [メンバー],Deferred gains or losses on hedges,Deferred gains or losses on hedges [member]
157,jppfs_cor:StatementOfChangesInNetAssetsLineItems,純資産変動計算書 [表示項目],Statement of changes in net assets,Statement of changes in net assets [line items]
158,jppfs_cor:NetAssets,純資産,Net assets,Net assets
159,jppfs_cor:ChangesOfItemsDuringThePeriodAbstract,当期変動額 [タイトル項目],Changes of items during period,Changes of items during period [abstract]
160,jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Profit (loss) attributable to owners of parent,Profit (loss) attributable to owners of parent
161,jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
162,jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Total changes of items during period,Total changes of items during period
163,nan,,,
164,nan,,,
165,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
166,jppfs_cor:StatementOfCashFlowsAbstract,キャッシュ・フロー計算書 [タイトル項目],Statement of cash flows,Statement of cash flows [abstract]
167,jppfs_cor:StatementOfCashFlowsTable,キャッシュ・フロー計算書 [表],Statement of cash flows,Statement of cash flows [table]
168,jppfs_cor:StatementOfCashFlowsLineItems,キャッシュ・フロー計算書 [表示項目],Statement of cash flows,Statement of cash flows [line items]
169,jppfs_cor:NetCashProvidedByUsedInOperatingActivitiesAbstractMED,事業活動によるキャッシュ・フロー、社会医療法人 [タイトル項目],Cash flows from operating activities,Cash flows from operating activities-MED [abstract]
170,jppfs_cor:SubtotalOpeCF,小計、営業活動によるキャッシュ・フロー,Subtotal,Subtotal-OpeCF
171,jppfs_cor:PrimaryOperatingIncomeOpeCFMED,本来業務事業収入、事業活動によるキャッシュ・フロー、社会医療法人,Receipts from primary operating revenue,Receipts from primary operating revenue - OpeCF - MED
172,jppfs_cor:PrimaryOperatingExpenditureOpeCFMED,本来業務事業費支出、事業活動によるキャッシュ・フロー、社会医療法人,Primary operating expenditure,Primary operating expenditure-OpeCF-MED
173,jppfs_cor:IncidentalOperatingIncomeOpeCFMED,附帯業務事業収入、事業活動によるキャッシュ・フロー、社会医療法人,Receipts from incidental operating revenue,Receipts from incidental operating revenue - OpeCF - MED
174,jppfs_cor:IncidentalOperatingExpenditureOpeCFMED,附帯業務事業費支出、事業活動によるキャッシュ・フロー、社会医療法人,Incidental operating expenditure,Incidental operating expenditure-OpeCF-MED
175,jppfs_cor:ProfitMakingOperatingIncomeOpeCFMED,収益業務事業収入、事業活動によるキャッシュ・フロー、社会医療法人,Receipts from profit-making operating revenue,Receipts from profit-making operating revenue - OpeCF - MED
176,jppfs_cor:ProfitMakingOperatingExpenditureOpeCFMED,収益業務事業費支出、事業活動によるキャッシュ・フロー、社会医療法人,Profit-making operating expenditure,Profit-making operating expenditure-OpeCF-MED
177,jppfs_cor:DecreaseIncreaseInOperatingReceivablesOpeCFMED,事業債権の増減額（△は増加）、事業活動によるキャッシュ・フロー、社会医療法人,Decrease (increase) in operating receivables,Decrease (increase) in operating receivables-OpeCF-MED
178,jppfs_cor:NetCashProvidedByUsedInOperatingActivitiesMED,事業活動によるキャッシュ・フロー、社会医療法人,Net cash provided by (used in) operating activities,Net cash provided by (used in) operating activities-MED
179,jppfs_cor:NetCashProvidedByUsedInInvestmentActivitiesAbstract,投資活動によるキャッシュ・フロー [タイトル項目],Cash flows from investing activities,Cash flows from investing activities [abstract]
180,jppfs_cor:ProceedsFromFacilitiesSubsidiesInvCFMED,施設設備補助金の受入れによる収入、投資活動によるキャッシュ・フロー、社会医療法人,Proceeds from facilities subsidies,Proceeds from facilities subsidies-InvCF-MED
181,jppfs_cor:NetCashProvidedByUsedInFinancingActivitiesAbstract,財務活動によるキャッシュ・フロー [タイトル項目],Cash flows from financing activities,Cash flows from financing activities [abstract]
